_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""The Sandwich Hub""","""250""","""Fast Food,Sandwich,Pizza,Burger""","""Ahmedabad""","""Bopal""","""https://www.zomato.com/ahmedabad/the-sandwich-hub-bopal/info""","""153""","""Quick Bites""","""5pm to 12midnight(Mon-Sun)""","""Average""","""3.1""","""6"""
"""Atithi Kathiyavadi Garden Restaurant""","""400""","""North Indian,Gujarati,Chinese""","""Ahmedabad""","""Vastral""","""https://www.zomato.com/ahmedabad/atithi-kathiyavadi-garden-restaurant-vastral/info""","""153""","""Dhaba""","""11am to 3pm,630pm to 1130pm(Mon-Sun)""","""Average""","""3.2""","""12"""
"""The Food Father""","""250""","""Italian,Mexican,Mediterranean""","""Ahmedabad""","""Satellite""","""https://www.zomato.com/ahmedabad/the-food-father-satellite/info""","""153""","""none""","""11pm to 6am(Mon-Sun)""","""Average""","""3.3""","""13"""
"""Dil Thi Desi @Urban Chowk""","""250""","""Street Food,Fast Food""","""Ahmedabad""","""Thaltej""","""https://www.zomato.com/ahmedabad/dil-thi-desi-@urban-chowk-thaltej/info""","""154""","""Food Court""","""11am to 1130pm(Mon-Sun)""","""Average""","""3.3""","""12"""
"""Blue Moonlight Snacks""","""300""","""Fast Food""","""Ahmedabad""","""Satellite""","""https://www.zomato.com/ahmedabad/blue-moonlight-snacks-satellite/info""","""154""","""Quick Bites""","""11pm to 3am(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Highway Town Chinese​""","""300""","""Chinese""","""Ahmedabad""","""Gota""","""https://www.zomato.com/ahmedabad/highway-town-chinese-gota/info""","""154""","""Quick Bites""","""6pm to 1145pm(Mon-Sun)""","""Average""","""3.0""","""7"""
"""Maharaja Dosa""","""450""","""South Indian""","""Ahmedabad""","""SBR Social-- Bodakdev""","""https://www.zomato.com/ahmedabad/maharaja-dosa-bodakdev/info""","""154""","""Food Court""","""7pm to 12midnight(Mon-Sun)""","""Average""","""3.3""","""7"""
"""Al Ali's Restaurant""","""600""","""North Indian,Mughlai,Chinese""","""Ahmedabad""","""Sarkhej""","""https://www.zomato.com/ahmedabad/al-alis-restaurant-sarkhej/info""","""154""","""Quick Bites""","""715pm to 1215AM(Mon-Sun)""","""Average""","""3.2""","""11"""
"""Sky Light Restaurant""","""250""","""Fast Food""","""Ahmedabad""","""Airport Gandhinagar Highway""","""https://www.zomato.com/ahmedabad/sky-light-restaurant-airport-gandhinagar-highway-gandhinagar/info""","""154""","""Quick Bites""","""11am to 1am(Mon-Sun)""","""Average""","""3.0""","""5"""
"""PhotoChinno Canapes""","""400""","""Cafe""","""Ahmedabad""","""Prahlad Nagar""","""https://www.zomato.com/ahmedabad/photochinno-canapes-prahlad-nagar/info""","""154""","""Café""","""630pm to 1am(Mon-Sun)""","""Average""","""3.1""","""11"""
