NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Guru Kripa Bhojnalaya,300,North Indian,Agra,Kamla Nagar,Quick Bites,Very Good,4.0,79
Manohar Lal Daulat Ram Garg Gajak Wale,150,Mithai,Agra,Sikandra,Sweet Shop,Good,3.5,57
The Delicious Restaurant,500,Fast Food,Agra,Shahganj,Quick Bites,Average,3.2,34
Jab We Meet,500,"North Indian,Mughlai",Agra,Civil Lines,Quick Bites,Good,3.6,44
Chai Ka Adda,100,Tea,Agra,Sikandra,Beverage Shop,Good,3.7,29
Kushwah Lassi Corner,100,Beverages,Agra,Shahganj,Beverage Shop,Average,3.4,15
Agra Bana,800,"North Indian,Chinese,Continental,South Indian",Agra,Kuberpur,Casual Dining,Good,3.5,44
24*7 Hunger Solutions,200,"North Indian,Chinese,Continental",Agra,Agra Cantt,none,Good,3.5,38
Neelam Restaurant,400,North Indian,Agra,Dayal Bagh,Casual Dining,Average,3.4,36
Ripples - Mansingh Palace,1500,"North Indian,Continental",Agra,Mansingh Palace-- Tajganj,Fine Dining,Not rated,-,-
Sheesh Mahal - Mansingh Palace,1800,"North Indian,Chinese,Continental",Agra,Mansingh Palace-- Tajganj,Fine Dining,Good,3.6,19
Anil Gajak Palace,300,Mithai,Agra,Civil Lines,Sweet Shop,Good,3.8,47
Kesar Restaurant,1200,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.3,24
FNP Cakes ‘n’ More,200,"Bakery,Desserts",Agra,Rakabganj,Bakery,Good,3.5,13
Healthy & Tasty Food,300,Fast Food,Agra,Shahganj,Quick Bites,Good,3.5,14
Kings Pizza And Burger,200,"Pizza,Burger",Agra,Rakabganj,Quick Bites,Good,3.5,15
Bob Marley Restaurant,600,North Indian,Agra,Tajganj,Casual Dining,Average,3.2,24
Crazy Burger,100,Burger,Agra,Sikandra,Quick Bites,Good,3.6,18
Shri Dauji Sweets,200,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,Average,3.0,33
Om Restaurant,250,North Indian,Agra,Civil Lines,Quick Bites,Good,3.7,97
Bhaagya Shree Studio & Bakers,250,Bakery,Agra,Kamla Nagar,Bakery,Good,3.6,19
Brijwasi Bhojnalaya,200,North Indian,Agra,Rakabganj,Bhojanalya,Average,3.4,23
Food & Fight,200,Fast Food,Agra,Sikandra,Quick Bites,Good,3.5,20
Jenith Fast Food,300,"North Indian,South Indian,Continental",Agra,Mantola,Quick Bites,Average,3.4,15
Chef Signature,900,"Fast Food,Continental,Indian",Agra,Tajganj,Quick Bites,Average,3.0,20
Food Treasure,200,"Bakery,Fast Food",Agra,Sikandra,Bakery,Good,3.5,15
Iccha Veg Biryani,100,Biryani,Agra,Sikandra,Kiosk,Good,3.5,22
The Park Restaurant,1000,"North Indian,Chinese,Continental,Mughlai",Agra,Agra Cantt,Casual Dining,Good,3.6,77
Agarsen Sweet,600,"Mithai,Fast Food",Agra,Sikandra,Sweet Shop,Average,3.4,14
Chhabra Bakers and Confectioners,200,"Bakery,Fast Food",Agra,Shahganj,Confectionery,Average,3.2,21
Laxman Momo's Corner,100,Momos,Agra,Tajganj,Quick Bites,Good,3.5,23
Pracheen Petha,200,Desserts,Agra,Civil Lines,Sweet Shop,None,NEW,NEW
Bansal Sweets,100,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,Average,2.7,30
AFC Kitchen,300,Fast Food,Agra,Tajganj,Quick Bites,Average,3.3,23
The Crispy Treat,150,Fast Food,Agra,Sikandra,Quick Bites,Average,3.3,8
Pranjal Food Court,300,Fast Food,Agra,Sikandra,Quick Bites,Average,3.0,21
Goli Vada Paav No.1,100,Street Food,Agra,Shahganj,Quick Bites,Average,3.2,20
Giani,300,"Beverages,Desserts,Ice Cream",Agra,Civil Lines,Dessert Parlor,Average,2.5,18
Laxman Momo's Corner,100,Street Food,Agra,Agra Cantt,Quick Bites,Good,3.8,20
Shagun Cafe,100,"Bakery,Cafe",Agra,Khandari,Quick Bites,Average,3.4,12
Cake & More,500,Bakery,Agra,Kamla Nagar,Quick Bites,Average,3.0,16
Panchhi Petha Store,400,Mithai,Agra,Mantola,Sweet Shop,Average,3.4,12
Mor Mukut Misthan Bhandar,400,"Mithai,Desserts,Street Food",Agra,Kamla Nagar,Sweet Shop,Average,3.3,14
Garg Dairy,200,"Bakery,Fast Food",Agra,Kamla Nagar,Bakery,Average,3.3,12
Fauzi Dhaba,650,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.0,17
Hungernomia,300,"Wraps,Sandwich,Burger,Fast Food",Agra,Civil Lines,Quick Bites,Average,3.3,16
Jugalbandi,250,"North Indian,Chinese",Agra,Sikandra,Quick Bites,Average,3.4,22
Maya Restaurant,900,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,2.7,17
Little N Chef,200,"Chinese,Fast Food",Agra,Shahganj,Quick Bites,Good,3.5,33
Little Maggi Point,150,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2,11
Cafe Coffee Day,500,"Cafe,Fast Food",Agra,Civil Lines,Café,Good,3.9,96
Swad Restaurant,500,North Indian,Agra,Agra Cantt,Casual Dining,Not rated,-,-
Yes Restaurant,300,"North Indian,South Indian",Agra,Tajganj,none,Average,3.4,13
Hunger Target,200,Chinese,Agra,Agra Cantt,Quick Bites,None,NEW,NEW
Hiralal Misthan Bhandar,250,Mithai,Agra,Civil Lines,Sweet Shop,Average,3.2,4
Biryaniwala,200,Biryani,Agra,Mantola,none,Average,3.4,15
Chinu Bakers,150,Fast Food,Agra,Kamla Nagar,none,Good,3.5,10
Thor The Party World,500,"North Indian,Chinese,Italian",Agra,Tajganj,Lounge,Very Good,4.0,44
Jai Jhulelal Patties Corner,100,Fast Food,Agra,Shahganj,Quick Bites,Good,3.6,24
Shubham Restaurant,500,"North Indian,Chinese,South Indian,Fast Food",Agra,Arjun Nagar,Casual Dining,Average,2.8,29
Pizza Pasta Corner,250,Pizza,Agra,Shahganj,Quick Bites,Average,3.3,9
Brownee,100,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3,25
Vaishno Bhalla House,200,Fast Food,Agra,Rakabganj,Quick Bites,Average,3.4,20
Aastha Family Dhaba,350,North Indian,Agra,Tajganj,Quick Bites,Average,3.2,7
Me & My Choice,500,Fast Food,Agra,Shahganj,Quick Bites,Average,3.4,11
AJ's Cafe & Bakery,300,Cafe,Agra,Agra Cantt,Café,Average,2.8,21
Moti Mahal Restaurant,800,"North Indian,Chinese,Continental",Agra,Tajganj,Casual Dining,Average,3.0,15
Djlecious By Divya,400,Bakery,Agra,Mantola,none,Not rated,-,-
