NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Maha Rani Tiffin Centre,200,Rajasthani,Ajmer,Ana Sagar Lake,none,None,NEW,NEW
Tejasvini Foods,300,"North Indian,Chinese",Ajmer,Kundan Nagar,Quick Bites,None,NEW,NEW
Sadda Adda,0,North Indian,Ajmer,Ana Sagar Lake,none,None,NEW,NEW
Gangaram Amarcchand Halwai,250,"Mithai,North Indian",Ajmer,Railway Quarters,none,None,NEW,NEW
JMD Fast Food,100,"Fast Food,Chinese",Ajmer,Dhola Bhata Colony,Quick Bites,None,NEW,NEW
Masala Kitchen,0,North Indian,Ajmer,Ana Sagar Lake,Mess,None,NEW,NEW
Malgudi Day's,150,North Indian,Ajmer,Panchsheel Nagar,Quick Bites,Good,3.6,28
Lassi Shop,150,"Fast Food,Beverages",Ajmer,Hathi Khera,Quick Bites,Good,3.5,15
Goyal Fast Food,200,"Fast Food,Pizza,Chinese",Ajmer,Ram Ganj,Quick Bites,Good,3.7,23
Chawla's,300,North Indian,Ajmer,Ana Sagar Lake,Quick Bites,Average,3.3,43
