NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Rozana,300,"Chinese,North Indian,Rolls",Allahabad,Civil Lines,Quick Bites,Good,3.8,44
Lazizo Restaurant & Cafe,300,"Street Food,North Indian,Fast Food",Allahabad,Colonel Ganj,Quick Bites,Average,3.1,28
Hyderabadi Biryani,400,"North Indian,Mughlai,Biryani",Allahabad,Civil Lines,Quick Bites,Good,3.6,36
Softy Corner,150,"Ice Cream,Desserts",Allahabad,Civil Lines,Dessert Parlor,Good,3.7,30
Checkers Pizza & Shawarma,300,"Pizza,Fast Food",Allahabad,Kareli,Quick Bites,None,NEW,NEW
Taste in Kasba,500,"North Indian,South Indian,Fast Food",Allahabad,Civil Lines,Casual Dining,Average,2.6,48
Combo King,450,"Indian,Chinese,Fast Food,North Indian",Allahabad,Civil Lines,Quick Bites,Good,3.7,28
Cravings Food Corner,250,Fast Food,Allahabad,Civil Lines,Quick Bites,Good,3.7,21
Shalimar Restaurant,450,North Indian,Allahabad,Leader Road,Casual Dining,Good,3.6,14
Zafar Ki Rasoi,300,"North Indian,Mughlai",Allahabad,Katra,Dhaba,Average,2.6,24
The Baker's Table,300,"Desserts,Bakery",Allahabad,George Town,Dessert Parlor,Good,3.5,8
Kohinoor Restaurant,800,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Good,3.7,27
Baskin Robbins,300,Ice Cream,Allahabad,Civil Lines,Dessert Parlor,Good,3.7,31
Rockk Onn Dine & Lounge,500,"North Indian,Chinese",Allahabad,Rajrooppur,Café,Average,3.0,15
Charcoal,350,"North Indian,Sandwich,Burger,Beverages",Allahabad,Katra,Quick Bites,Average,3.3,11
Pocket Meals,200,"North Indian,Chinese",Allahabad,Civil Lines,Quick Bites,Good,3.6,13
Maa Sharda Food Point,200,North Indian,Allahabad,George Town,Quick Bites,None,NEW,NEW
Zaika Restaurant,800,North Indian,Allahabad,Civil Lines,Casual Dining,Average,3.2,7
Aagman Restaurant,400,North Indian,Allahabad,Katra,Casual Dining,Average,3.3,22
Chicken Khurana,200,North Indian,Allahabad,Civil Lines,Quick Bites,Average,3.0,8
R. C. Spice,300,North Indian,Allahabad,Naini,Quick Bites,None,NEW,NEW
The Frozen Kitchen,250,"North Indian,Chinese",Allahabad,Civil Lines,Quick Bites,Average,3.4,16
Pahalwan Juice Stuff,150,Beverages,Allahabad,Kareli,Beverage Shop,None,NEW,NEW
Kalika Restaurant,400,North Indian,Allahabad,Civil Lines,Quick Bites,Good,3.5,26
Kazuza Ind.,500,"North Indian,Chinese",Allahabad,Naini,Casual Dining,Average,2.6,22
Day Night Restaurant,150,"Biryani,Mughlai",Allahabad,Kareli,Quick Bites,Good,3.5,23
UP-70 Your Kitchen,300,North Indian,Allahabad,Naini,Quick Bites,None,NEW,NEW
Bebo's Kitchen,400,"North Indian,South Indian,Chinese,Continental",Allahabad,Rajrooppur,Casual Dining,Average,3.4,34
New Fast Food Plaza,400,"North Indian,Fast Food",Allahabad,Naini,Quick Bites,None,NEW,NEW
The Kitchen,250,"Fast Food,North Indian,Chinese",Allahabad,Tagore Town,Quick Bites,Average,3.3,7
The Oval - Hotel Milan Palace,1000,"North Indian,Mughlai",Allahabad,Civil Lines,Casual Dining,Good,3.5,21
New Kwality Ice Cream Parlour,400,"Ice Cream,Desserts",Allahabad,Civil Lines,Dessert Parlor,Good,3.8,23
Naturelo,200,Ice Cream,Allahabad,Civil Lines,Dessert Parlor,Good,3.5,15
Al Fresco,700,"North Indian,Chinese",Allahabad,Rajrooppur,Café,Average,3.4,10
The Mughlai Hut,400,"Mughlai,North Indian",Allahabad,Civil Lines,Quick Bites,Good,3.5,21
Millennium Restaurant,300,"North Indian,Fast Food",Allahabad,Teliarganj,Quick Bites,Average,2.7,17
Food Of Heaven,300,North Indian,Allahabad,Dhoomanganj,Quick Bites,Average,3.1,13
King Classic Restaurant,600,"North Indian,Continental,Chinese,Fast Food,Rolls",Allahabad,Civil Lines,Quick Bites,Good,3.5,21
