NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Lemon Restaurant,400,North Indian,Cuttack,CDA Sector 6,Casual Dining,Average,3.4,118
Guchi's,800,"North Indian,Chinese",Cuttack,Mal Godown Market,Casual Dining,Average,3.4,95
Cafe Corner & Restaurant,350,"Fast Food,Cafe,Chinese,North Indian",Cuttack,Naya Bazaar,Quick Bites,Average,3.3,19
Shawarma Corner,150,Lebanese,Cuttack,Siba Bazaar,Quick Bites,Good,3.5,40
Aditya Restaurant,500,North Indian,Cuttack,Buxi Bazaar,Casual Dining,Average,3.4,73
Shree Vineeth's,600,South Indian,Cuttack,Sutahat,Casual Dining,Average,3.3,57
Tummy Tizer,400,Fast Food,Cuttack,Mal Godown Market,Quick Bites,Average,3.3,57
Hunger's Adda,200,"Biryani,Street Food,Momos",Cuttack,CDA Sector 6,Food Truck,Average,3.3,49
Hot Curry,150,North Indian,Cuttack,CDA Sector 6,Quick Bites,Average,3.4,4
Snowball Ice Cream,150,Ice Cream,Cuttack,CDA Sector 6,none,Average,3.4,24
New Day,300,Fast Food,Cuttack,Buxi Bazaar,Quick Bites,Average,3.4,32
Jagamohan Restaurant,400,"North Indian,Chinese",Cuttack,Sutahat,Casual Dining,Average,3.4,86
Crown Bakery,300,Bakery,Cuttack,Buxi Bazaar,Bakery,Average,3.3,24
Wow! Momo,350,"Tibetan,Burger",Cuttack,Mal Godown Market,Quick Bites,Good,3.6,66
Foodism,500,"Chinese,Biryani",Cuttack,Naya Bazaar,Quick Bites,Average,3.4,57
Wheelies,200,Fast Food,Cuttack,Sutahat,Quick Bites,Good,3.5,44
Baromishali Bengali Restaurant,350,"Bengali,North Indian,Chinese",Cuttack,CDA Sector 6,Quick Bites,Average,3.4,19
Hunger Lounge - The 99 Store,200,Cuisine Varies,Cuttack,CDA Sector 6,Café,None,NEW,NEW
DSP Biryani,300,Biryani,Cuttack,CDA Sector 6,Quick Bites,Average,3.3,35
Bon Appetit,200,Fast Food,Cuttack,Sutahat,Quick Bites,Average,3.3,30
Swaad Restaurant,350,"North Indian,Chinese,Biryani",Cuttack,Mal Godown Market,Casual Dining,Average,3.3,43
Baker's Delite,400,Bakery,Cuttack,Buxi Bazaar,Quick Bites,Average,3.4,29
Tea Junction,200,"Tea,Fast Food",Cuttack,CDA Sector 6,Quick Bites,Average,3.1,24
Kalia Chop Centre,200,Fast Food,Cuttack,Siba Bazaar,Quick Bites,Average,3.4,26
Baker's Delite,200,Bakery,Cuttack,Naya Bazaar,Bakery,Average,3.2,23
M/S College Cafe,400,Fast Food,Cuttack,Buxi Bazaar,Quick Bites,Average,3.3,22
Mio Amore,200,Bakery,Cuttack,Naya Bazaar,Bakery,Average,3.3,27
Kabab Point,300,Kebab,Cuttack,Sutahat,Quick Bites,Average,3.4,22
Cream Centre,300,"Bakery,Fast Food",Cuttack,Sutahat,Bakery,Average,3.3,12
