_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Eating Hub""","""100""","""Fast Food""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/eating-hub-phase-5-mohali/info""","""101""","""none""","""2pm to 10pm(Mon,Tue,Wed,Thu,Fri,Sun),1230pm...""","""Average""","""3.1""","""9"""
"""Brothers Hub""","""200""","""Fast Food,Rolls""","""Chandigarh""","""Phase 6-- Mohali""","""https://www.zomato.com/chandigarh/brothers-hub-phase-6-mohali/info""","""101""","""Quick Bites""","""9am to 10pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Dilli 6 Restaurant""","""600""","""North Indian""","""Chandigarh""","""Ambala Road""","""https://www.zomato.com/chandigarh/dilli-6-restaurant-ambala-road-zirakpur/info""","""101""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.1""","""5"""
"""K V Fast Food""","""250""","""Fast Food""","""Chandigarh""","""Sector 40-- Chandigarh""","""https://www.zomato.com/chandigarh/k-v-fast-food-sector-40/info""","""101""","""Quick Bites""","""11am to 1030pm(Mon-Sun)""","""Average""","""3.1""","""7"""
"""Goyal’s Chandigarh Sweets""","""300""","""Mithai,Fast Food""","""Chandigarh""","""Dhakoli""","""https://www.zomato.com/chandigarh/goyals-chandigarh-sweets-dhakoli-zirakpur/info""","""101""","""Sweet Shop""","""9am to 930pm(Mon-Sat),930am to 930pm(Sun)""","""Not rated""","""-""","""-"""
"""Jugnu Snacks""","""500""","""North Indian""","""Chandigarh""","""Sector 36-- Chandigarh""","""https://www.zomato.com/chandigarh/jugnu-snacks-sector-36/info""","""101""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.4""","""17"""
"""IB Foods""","""500""","""North Indian,Chinese,Beverages""","""Chandigarh""","""Sector 11-- Panchkula""","""https://www.zomato.com/chandigarh/ib-foods-sector-11-panchkula/info""","""101""","""none""","""11am to 11pm(Mon-Sun)""","""Average""","""2.8""","""9"""
"""Shama Dhaba""","""200""","""North Indian,Mughlai""","""Chandigarh""","""Sector 12-- Chandigarh""","""https://www.zomato.com/chandigarh/shama-dhaba-sector-12/info""","""102""","""Dhaba""","""8am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Ziggly Piggly""","""250""","""North Indian""","""Chandigarh""","""Sector 15-- Chandigarh""","""https://www.zomato.com/chandigarh/ziggly-piggly-sector-15/info""","""102""","""Quick Bites""","""1030am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Street Kitchen""","""400""","""Fast Food,North Indian""","""Chandigarh""","""Phase 7-- Mohali""","""https://www.zomato.com/chandigarh/street-kitchen-phase-7-mohali/info""","""102""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Chicago Central""","""450""","""American,Fast Food""","""Chandigarh""","""VIP Road""","""https://www.zomato.com/chandigarh/chicago-central-vip-road-zirakpur/info""","""102""","""Quick Bites""","""10am to 11pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Gill's Grill""","""250""","""Chinese,North Indian""","""Chandigarh""","""Sector 42-- Chandigarh""","""https://www.zomato.com/chandigarh/gills-grill-sector-42/info""","""102""","""Quick Bites""","""9am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Sweet Nothings""","""150""","""Bakery,Desserts""","""Chandigarh""","""Inner Market-- Sector 8 B-- Chandigarh""","""https://www.zomato.com/chandigarh/sweet-nothings-sector-8/info""","""102""","""Bakery""","""10am to 10pm(Mon-Sun)""","""Good""","""3.6""","""38"""
"""The Food Street""","""400""","""North Indian,Mughlai,Rolls""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/the-food-street-kharar-road-mohali/info""","""102""","""Quick Bites""","""1030am to 1030pm(Mon,Wed,Thu,Fri,Sat,Sun)...""","""Good""","""3.5""","""34"""
"""Noor Desi Ghee Da Dhaba""","""300""","""North Indian""","""Chandigarh""","""Phase 5-- Mohali""","""https://www.zomato.com/chandigarh/noor-desi-ghee-da-dhaba-phase-5-mohali/info""","""102""","""Quick Bites""","""730am to 3pm,6pm to 10pm(Mon-Sun)""","""Average""","""3.3""","""16"""
