NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
The VJ Cafe & Dr.Bubbles,300,"Sandwich,Burger,Beverages",Amravati,Ambapeth,Café,Not rated,-,-
Jalsa Restaurant,300,"Maharashtrian,North Indian",Amravati,Arjun Nagar,Casual Dining,None,NEW,NEW
Biryani Bhai,300,"North Indian,Maharashtrian,Indian,Biryani",Amravati,Ambapeth,Fine Dining,Not rated,-,-
Cafe Rio,200,"Burger,Coffee,Fast Food,Healthy Food,Juices,Pizza,Sandwich,Street Food",Amravati,Sai Nagar,Café,Not rated,-,-
Hotel Ichha Non- veg,300,"Indian,Modern Indian",Amravati,Sai Nagar,Casual Dining,Not rated,-,-
Friends Adda,500,North Indian,Amravati,Nai Basti,Casual Dining,Not rated,-,-
Lords family restaurant,400,"North Indian,Maharashtrian,Indian,Chinese",Amravati,Maltekedi,Bar,Not rated,-,-
Hotel Delhi Darbar Restaurant,500,North Indian,Amravati,Maltekedi,Casual Dining,Not rated,-,-
Maratha Bhojnalya,150,Maharashtrian,Amravati,Maltekedi,Bhojanalya,Not rated,-,-
Al Kareem Family Restaurants,300,"North Indian,Maharashtrian,Biryani",Amravati,Ambapeth,Casual Dining,Not rated,-,-
Manbhavan Premium Thali,300,"Rajasthani,Gujarati",Amravati,Sai Nagar,Casual Dining,None,NEW,NEW
Chai Spot,200,"Italian,Fast Food,Cafe",Amravati,Maltekedi,Café,Not rated,-,-
7 star Chinese center,150,Chinese,Amravati,Sai Nagar,Casual Dining,Not rated,-,-
Modern Choupati,300,"North Indian,Chinese",Amravati,Sharda Vihar,Quick Bites,Not rated,-,-
Coffee Day Square,200,"Cafe,Sandwich,Fast Food,Modern Indian,Burger,Wraps,Coffee,Pizza",Amravati,Navsaari,Café,None,NEW,NEW
Gauri Inn - Madhushala Veg Non-Veg Restaurant,300,"North Indian,Modern Indian",Amravati,Arjun Nagar,Quick Bites,Not rated,-,-
Hotel Raj Plaza,300,"North Indian,Maharashtrian",Amravati,Maltekedi,Bar,Not rated,-,-
Apna Gharonda,400,"North Indian,Maharashtrian,Indian",Amravati,Dastur Nagar,Fine Dining,None,NEW,NEW
Om cake shop,300,Bakery,Amravati,Maltekedi,Bakery,Not rated,-,-
Firangi Dhaba,300,"Indian,North Indian",Amravati,Arjun Nagar,Casual Dining,Not rated,-,-
Nirali cafe,150,"Cafe,Beverages",Amravati,Maltekedi,Café,Not rated,-,-
Nirali cafe,150,"Cafe,Beverages",Amravati,Maltekedi,Café,Not rated,-,-
Bombay Chaat,200,Street Food,Amravati,Sai Nagar,Quick Bites,Not rated,-,-
Natural Fresh Icecream,150,Desserts,Amravati,Arjun Nagar,none,Not rated,-,-
Chatak Matak Food,100,"Cantonese,Chinese,Continental",Amravati,Sai Nagar,Fine Dining,Not rated,-,-
Cafe D'lite,200,"Maharashtrian,Indian,Cafe,Beverages",Amravati,Navsaari,Café,Not rated,-,-
Nana's yummy Treats,150,"Pizza,Fast Food,Burger",Amravati,Dastur Nagar,Casual Dining,None,NEW,NEW
The Cake Avenue,300,Bakery,Amravati,Navsaari,Bakery,Not rated,-,-
Khamang ChopatiYASHIKA Chinese,200,"Fast Food,Chinese",Amravati,Sai Nagar,Quick Bites,Not rated,-,-
Kasbaah Cafe,200,"Sandwich,Fast Food",Amravati,Yogiraj Nagar,Quick Bites,Not rated,-,-
Desi Burger King,150,"Burger,Beverages",Amravati,Ambapeth,Café,Not rated,-,-
Brewers The Coffee Bar,200,"Burger,Beverages,Cafe,Sandwich,Italian,Pizza,Chinese",Amravati,Gopal Nagar,Casual Dining,Not rated,-,-
Pizza street cafe,200,"North Indian,Indian,Fast Food",Amravati,Maltekedi,Fine Dining,Not rated,-,-
Mathuravasi Cqhat Centre,100,Fast Food,Amravati,Maltekedi,Quick Bites,Not rated,-,-
Hotel Radhey Inn (Saffron Fine Dine),400,"North Indian,Maharashtrian",Amravati,Maltekedi,Casual Dining,Not rated,-,-
Tik tok cafe and fast food,200,"Italian,Fast Food",Amravati,Dastur Nagar,Casual Dining,Not rated,-,-
