NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Roti Wala,300,North Indian,Bengaluru,BTM,Quick Bites,Very Good,4.2,208
Break Hour,150,"Chinese,Beverages",Bengaluru,Rajajinagar,Quick Bites,Very Good,4.1,105
Hungry Vihaari,800,"Continental,Burger,Salad,Pizza,Beverages",Bengaluru,Kalyan Nagar,Casual Dining,Very Good,4.0,50
Tandoor Singh,700,"North Indian,Mughlai",Bengaluru,Yelahanka,none,None,NEW,NEW
Amritsari Kulcha Bite,150,North Indian,Bengaluru,Ulsoor,Quick Bites,Good,3.9,122
The Meal Story,700,"North Indian,Street Food",Bengaluru,Sarjapur Road,Casual Dining,Very Good,4.1,266
Rooftop Cafe,400,"Cafe,Fast Food,Beverages",Bengaluru,Jayanagar,Café,Very Good,4.1,834
FOODYWOOD,400,"Bengali,Chinese,Fast Food,North Indian",Bengaluru,Electronic City,Quick Bites,None,NEW,NEW
Johnny Fox,1500,"North Indian,Chinese",Bengaluru,Hosur Road,Bar,Good,3.9,78
Tandooriwala,700,"North Indian,Mughlai,Biryani",Bengaluru,Gopalan Signature Mall-- Old Madras Road,Casual Dining,Poor,2.4,122
Konark Vegetarian Restaurant,700,"North Indian,Chinese,South Indian",Bengaluru,Commercial Street,Casual Dining,Very Good,4.1,422
Maa Da Dhaba,600,North Indian,Bengaluru,Yelahanka,Casual Dining,Very Good,4.0,620
Feast India Co.,1500,"Awadhi,Bengali,North Indian",Bengaluru,Cunningham Road,Casual Dining,Very Good,4.3,143
Sri Ayodhya Veg,300,"South Indian,North Indian",Bengaluru,Vijay Nagar,Quick Bites,Very Good,4.0,345
Erivum Puliyum,500,"Kerala,South Indian,Seafood",Bengaluru,Brookefield,Quick Bites,Good,3.9,66
Halli Mane Donne Biriyani,400,"Biryani,Seafood",Bengaluru,Rajajinagar,Quick Bites,Very Good,4.1,103
Nizam's Biryani House,700,"Hyderabadi,Biryani",Bengaluru,Marathahalli,Casual Dining,Good,3.8,786
Shudh,300,North Indian,Bengaluru,Sarjapur Road,none,Very Good,4.1,103
Sri Balaji Tiffin Centre,350,"North Indian,Chinese",Bengaluru,Banashankari,Quick Bites,Average,3.4,9
Indian Spice Food,300,"North Indian,Chinese",Bengaluru,Ulsoor,Quick Bites,Good,3.7,47
World Of Asia,300,Asian,Bengaluru,BTM,Quick Bites,Very Good,4.1,57
Lutff,450,North Indian,Bengaluru,HSR,none,Good,3.7,17
Aroma House,500,"Fast Food,Chinese,Mughlai",Bengaluru,JP Nagar,Quick Bites,None,NEW,NEW
Indian Coffee House & Restaurant,650,"South Indian,North Indian,Chinese",Bengaluru,Koramangala 5th Block,Casual Dining,Very Good,4.2,691
Moto Store & Café,500,"Pizza,Italian,Cafe,Burger,Finger Food,Fast Food,Sandwich",Bengaluru,Ulsoor,Café,Very Good,4.2,389
Clean Slate Cafe,600,"Cafe,Continental,Italian",Bengaluru,Malleshwaram,Café,Very Good,4.2,281
Enerjuvate Studio & Cafe,800,"Cafe,Healthy Food,Pizza,Beverages",Bengaluru,Jayanagar,Café,Very Good,4.2,760
SLV Corner Restaurant,600,"South Indian,North Indian,Chinese,Beverages",Bengaluru,Basavanagudi,Casual Dining,Very Good,4.2,384
Shetty Lunch Home,500,"Mangalorean,North Indian,Biryani,Seafood",Bengaluru,RT Nagar,Quick Bites,Good,3.7,198
Juice Junction Food Court,200,"Juices,South Indian,Chinese,Fast Food",Bengaluru,HSR,Quick Bites,Good,3.8,222
Sardar Ka Chullah,400,North Indian,Bengaluru,Marathahalli,Food Court,Average,3.3,7
Smoke-A-Pot,600,"Biryani,Kebab,Rolls",Bengaluru,JP Nagar,none,Average,3.3,94
Tasty Homely Food,350,"North Indian,Chinese,Fast Food,Street Food,Mithai",Bengaluru,Whitefield,none,Not rated,-,-
Khaja Military Hotel,400,"Biryani,Fast Food,South Indian",Bengaluru,HSR,Quick Bites,Not rated,-,-
