NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Cafe Frespresso,500,Cafe,Bhubaneswar,Patia,Café,Good,3.9,283
The Hunger's Point,200,North Indian,Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.5,98
Milky Den Veg Restaurant,300,North Indian,Bhubaneswar,Kharabela Nagar,Casual Dining,Very Good,4.0,304
XO CAFE - Prangan by Mango Hotels,700,"North Indian,Chinese,Continental,South Indian",Bhubaneswar,Prangan by Mango Hotel-- Lakshmi Sagar,Casual Dining,Good,3.9,127
Garam Masala,500,"North Indian,Chinese",Bhubaneswar,Chandrasekharpur,Casual Dining,Good,3.6,387
Cha cTea,500,"Cafe,Tea",Bhubaneswar,Sahid Nagar,Café,Good,3.8,214
Crazzy Eggs,600,Fast Food,Bhubaneswar,Gajapati Nagar,Quick Bites,Good,3.8,117
Aangan Highway,900,"North Indian,Continental,Chinese",Bhubaneswar,Patia,Casual Dining,Good,3.9,58
Foresta AC Family Restaurant,300,"Chinese,North Indian,Fast Food",Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.6,95
Hotel Shirose,700,"North Indian,South Indian,Chinese",Bhubaneswar,BJB Nagar,Casual Dining,Good,3.7,261
Hotel Charlie,250,"North Indian,Chinese",Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.7,121
Manomay,200,"Mithai,Chinese,Street Food,North Indian",Bhubaneswar,Lakshmi Sagar,Sweet Shop,Good,3.8,105
Tangerine 99,1100,"North Indian,Chinese",Bhubaneswar,Satya Nagar,Casual Dining,Good,3.8,348
The Veg World,300,Fast Food,Bhubaneswar,Khandagiri,Quick Bites,Good,3.6,138
Monginis,300,"Fast Food,Desserts",Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.8,231
Burrp Out,400,"North Indian,South Indian,Chinese",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.6,149
Brewbakes,200,"Mexican,Fast Food,Beverages,Bakery",Bhubaneswar,Jatni,Quick Bites,Good,3.5,49
Mughal Mings,500,"North Indian,Chinese,Mughlai",Bhubaneswar,Surya Nagar,Casual Dining,Good,3.7,159
Sai Baba Pawbajhi,100,Street Food,Bhubaneswar,Sahid Nagar,Quick Bites,Very Good,4.0,152
Serrano,400,"Chinese,North Indian",Bhubaneswar,Jayadev Vihar,Casual Dining,Good,3.8,178
99 North Restaurant,500,"North Indian,Chinese",Bhubaneswar,Patia,Quick Bites,Good,3.7,107
Dawat,400,"North Indian,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,Average,3.4,325
Maharaja Vadapav & Dabeli,200,Fast Food,Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.9,196
The Chef Restaurant,600,"North Indian,Chinese",Bhubaneswar,Nayapalli,Casual Dining,Good,3.9,201
Go Cool,500,"Bakery,Fast Food",Bhubaneswar,Sahid Nagar,Bakery,Very Good,4.0,210
Paradise Kitchen Hyderabadi Biriyani,500,Biryani,Bhubaneswar,Patia,Quick Bites,Good,3.6,221
Chopstix,550,"Seafood,North Indian,Chinese,Momos",Bhubaneswar,Kalinga Nagar,Casual Dining,Good,3.7,176
The Veg World,250,"North Indian,Chinese,Continental",Bhubaneswar,Patia,Quick Bites,Average,3.3,53
Suvy's Cafe,200,Fast Food,Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.8,286
Jaalazza- The Urban Dhaba,600,"Indian,North Indian,Chinese",Bhubaneswar,Patia,Casual Dining,Good,3.7,204
Scholars,300,"North Indian,Chinese",Bhubaneswar,Jagmohan Nagar,Quick Bites,Good,3.7,134
Chilly & Chilly,300,North Indian,Bhubaneswar,Sahid Nagar,Quick Bites,Poor,2.4,229
Rainbow Cafe,500,"North Indian,Chinese,Mughlai",Bhubaneswar,Nayapalli,Casual Dining,Good,3.8,204
All Dough Bakers,200,"Fast Food,Bakery",Bhubaneswar,Jatni,Quick Bites,Good,3.6,35
Food Express,400,"Fast Food,Biryani",Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.9,289
Bombay Kulfi,200,"Ice Cream,Desserts",Bhubaneswar,Patia,Dessert Parlor,Very Good,4.0,109
Tandoor Matka,120,"Fast Food,Beverages,Biryani,Chinese",Bhubaneswar,Kharabela Nagar,Beverage Shop,Good,3.8,62
South Express,500,"South Indian,North Indian",Bhubaneswar,Lakshmi Sagar,Casual Dining,Good,3.9,144
The Hub,700,"North Indian,Chinese,Continental",Bhubaneswar,Patia,Casual Dining,Average,3.4,227
Tikkas 'N' Tacos,500,"North Indian,Continental,Italian,Mexican",Bhubaneswar,Patia,Quick Bites,Good,3.6,151
The Second Wife Kitchen,400,"North Indian,Chinese",Bhubaneswar,Jatni,Quick Bites,Good,3.5,42
O' Kareem Restaurant,600,"North Indian,Biryani",Bhubaneswar,Kharabela Nagar,Casual Dining,Good,3.8,198
Cuisinic Salad Bar,750,"Healthy Food,Salad,Chinese,North Indian",Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.5,139
Tawaa Tandoor,650,"Indian,Mughlai,Chinese",Bhubaneswar,Sahid Nagar,Casual Dining,Good,3.9,100
Shree Vineeth's,200,"South Indian,Mithai",Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.9,181
Country Kitchen,450,"South Indian,North Indian,Mughlai",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.7,167
MDC Restaurant,400,"North Indian,Chinese",Bhubaneswar,Patia,Casual Dining,Good,3.9,242
Mio Amore,200,"Fast Food,Bakery,Desserts",Bhubaneswar,Sahid Nagar,Bakery,Good,3.9,185
Wheelies,200,Fast Food,Bhubaneswar,Kharabela Nagar,Quick Bites,Very Good,4.2,173
Shann's Shack,850,"North Indian,Chinese,Continental",Bhubaneswar,Unit 4,Casual Dining,Good,3.7,74
Dalchini,500,"North Indian,South Indian,Biryani",Bhubaneswar,Patia,Casual Dining,Good,3.6,125
Urban Flavours,300,"North Indian,Chinese",Bhubaneswar,Kharabela Nagar,Quick Bites,Good,3.9,153
Wild Berry,800,"North Indian,Chinese,Fast Food",Bhubaneswar,Patia,Casual Dining,Good,3.7,144
Now Biriyani,300,Biryani,Bhubaneswar,Lakshmi Sagar,Quick Bites,Average,3.0,37
Venus Restaurant,500,"North Indian,South Indian,Chinese",Bhubaneswar,Patrapada,Casual Dining,Good,3.7,128
Hotel Venus,600,"North Indian,Chinese,South Indian",Bhubaneswar,Surya Nagar,Casual Dining,Good,3.8,136
Ten Minutes - Pal Heights,400,"Bakery,Fast Food",Bhubaneswar,Pal Heights-- Jayadev Vihar,Bakery,Very Good,4.0,120
Shanghai Express - Hotel Marrion,1200,Chinese,Bhubaneswar,New Marrion Hotel-- Kharabela Nagar,Fine Dining,Good,3.7,122
Swad Restaurant,500,"North Indian,Chinese",Bhubaneswar,Lakshmi Sagar,Quick Bites,Average,2.9,100
Venus Inn Restaurant,700,"North Indian,South Indian,Chinese",Bhubaneswar,Bapuji Nagar,Casual Dining,Good,3.7,112
Bismillah Biryani Zone,200,"North Indian,Chinese",Bhubaneswar,Jatni,Quick Bites,Average,2.9,41
Gupta's Sweets & Chat's,300,"North Indian,South Indian,Street Food,Mithai",Bhubaneswar,Lakshmi Sagar,Quick Bites,Good,3.8,109
The Tandoori Night,400,"Fast Food,Mughlai",Bhubaneswar,Chandrasekharpur,Quick Bites,Good,3.5,177
Desi Dhaba,400,"Chinese,North Indian,Oriya",Bhubaneswar,Patia,Quick Bites,Average,3.3,203
The Spice Valley,400,"Chinese,North Indian,Mughlai",Bhubaneswar,Jayadev Vihar,Casual Dining,Good,3.7,137
Ssaanchee's,600,"Oriya,Chinese,North Indian",Bhubaneswar,Chandrasekharpur,Casual Dining,Good,3.7,188
BabuMoshai,500,North Indian,Bhubaneswar,Sahid Nagar,Casual Dining,Good,3.8,116
Silver Paradise,300,North Indian,Bhubaneswar,Unit 4,Quick Bites,Average,3.2,74
New Taj Fast Food,300,"North Indian,Chinese",Bhubaneswar,Sahid Nagar,Quick Bites,Good,3.9,132
Abhiruchi,500,South Indian,Bhubaneswar,Chandrasekharpur,Casual Dining,Good,3.7,174
Curry Nation,450,"Bengali,Oriya,North Indian",Bhubaneswar,Chandrasekharpur,none,Good,3.9,110
Venus Premium,600,"North Indian,Chinese,Oriya",Bhubaneswar,Chandrasekharpur,Casual Dining,Average,3.4,125
Bapu Restaurant,300,"Chinese,North Indian",Bhubaneswar,Sahid Nagar,Casual Dining,Good,3.6,150
Cream & Spicy,200,"Bakery,Desserts",Bhubaneswar,Jagmohan Nagar,Bakery,Good,3.7,66
